id, username, created_at, lng, lat, text
1253542487299260416, TJ03030, Fri Apr 24 04:33:13 +0000 2020, 100.525283, 13.847269, กำลังทยอยตอบข้อความ DM ตอนนี้ตอบไปแล้ว 500 อีก 300 กว่าขอบคุณทุกคนที่ทักมาครับ ♥️ 
1253542487999668226, Ashraf1_786, Fri Apr 24 04:33:13 +0000 2020, 82.584181, 19.938705, @OkkadiFanIkada 😂😂🙏 
1253542488201031680, zoochanzx, Fri Apr 24 04:33:13 +0000 2020, 101.552669, 3.051220, Angel corpseDeicideDeathMorbid Angel 
1253542488779841536, baraberisik, Fri Apr 24 04:33:13 +0000 2020, 110.219732, -7.490702, @PutrAldina Mohon maap ga valid, mie ayam biasa lebih enak daripada yg ayamnya kek gitu 🙏🏻 
1253542491262840832, ravin_isaac, Fri Apr 24 04:33:14 +0000 2020, 103.838094, 1.525403, @nashagirll Stay sweet 
1253542491611000832, Nikfaez_, Fri Apr 24 04:33:14 +0000 2020, 103.296600, 3.667598, pelik ah. anok beranok dia ada je hok jual nape tanye orang lain. banyak kali gok perasan ni. adeh 
1253542493431316480, prilianabella, Fri Apr 24 04:33:14 +0000 2020, 106.856809, -6.225842, @fathanfathan_ @BapaknyaRico ohahaa maap pak saya rapokus 😌 
1253542495109038080, Borneojaya13, Fri Apr 24 04:33:15 +0000 2020, 99.350513, 3.295247, @tandanVradio @PurbaHermanto @aniesbaswedan dia gak ada mentrinya bong... 
1253542495784296450, v_nanovianti, Fri Apr 24 04:33:15 +0000 2020, 106.891450, -6.333025, @isranurhadi Dih, aku kan udah terlatih puasa dari SD tauuuukkk 😂 cuma dulu mulai dari puasa bedug 😆 
1253542495822049280, anisapamungki, Fri Apr 24 04:33:15 +0000 2020, 111.104236, -6.673900, @byu_id Min aku udh 3 bulan pake by.u kok gk dapet bonus 1gb kaya yg lain ya ? 
1253542496505704448, leleeeng1, Fri Apr 24 04:33:15 +0000 2020, 124.628501, 8.376078, @DorotheaYanez1 Abi pa lang di weak HABABAHABABAHAHAHA 
1253542498019860480, NRiadiana, Fri Apr 24 04:33:15 +0000 2020, 112.426580, -8.210751, @menmarzuq Jangan lupa memberi makan gary. 
1253542500997959680, liang_mac, Fri Apr 24 04:33:16 +0000 2020, 115.154498, -8.683435, 𝙎𝙪𝙢𝙢𝙚𝙧𝙩𝙞𝙢𝙚 𝙎𝙖𝙙𝙣𝙚𝙨𝙨 ! Kiss me hard before you go, 离别之前请再亲我一次，Summertime sadness, 谨以纪念这夏日的忧伤，I just wanted you to… https://t.co/vkc0ufyYun 
1253542501329207298, tookies24, Fri Apr 24 04:33:16 +0000 2020, 100.635361, 13.791116, @MarvelNows ป๋า ต้องซื้อให้หนุสิ //บีบๆนวดๆ 
1253542501949923328, NiceTrian, Fri Apr 24 04:33:16 +0000 2020, 106.834450, -6.232960, @HeadBAErista Yeay 🥳 
1253542502113538048, IndahNovitaR, Fri Apr 24 04:33:16 +0000 2020, 100.400374, -0.458332, Sumpah lg males bgt menyesuaikan diri sekarang, apalagi di banyak tempat sekalian, bikin capek. Terserah yg menilai aja deh. 
1253542501719265282, ElsaviaNindiana, Fri Apr 24 04:33:16 +0000 2020, 109.193585, -6.881440, Diantara doa sebagian sahabat ketika datang Ramadhan, 🌹☕🌹اَللَّهُمَّ سَلِّمْنـِي إِلَى رَمَضَانَ وَسَلِّمْ لِـي رَ… https://t.co/yl6c4iPb8a 
1253542502889635841, Tasha_Asha96, Fri Apr 24 04:33:17 +0000 2020, 102.467907, 2.269608, Puasa kt rumah aku mmg jarang beli makanan kt luar. Tak tahu kenapa. Kalau aku keluar pun, aku beli air je. Suka ma… https://t.co/PVdQAx0vZD 
1253542502960738304, flook_kung1009, Fri Apr 24 04:33:17 +0000 2020, 101.254177, 17.216676, นี่เเหละ555 
1253542505435377667, farhatimardhiah, Fri Apr 24 04:33:17 +0000 2020, 110.704802, -7.695889, @sattoraji Wkwkwkwkw tiap hari senyam senyum terus 🤣 
1253542506450444288, missaramhd, Fri Apr 24 04:33:17 +0000 2020, 101.705305, 3.148531, Wow 
1253542507796783105, Jebondocpogi, Fri Apr 24 04:33:18 +0000 2020, 120.661912, 15.067761, 2.5k shares naaaaa HAJAHAHAHA 
1253542508287541249, kuteringathati, Fri Apr 24 04:33:18 +0000 2020, 107.651627, -6.923759, @____poor @infosebel wkwkwk pendatang 
1253542510397231105, fatineryna, Fri Apr 24 04:33:18 +0000 2020, 101.552669, 3.051220, gigihnya🤦‍♀️ 
1253542510732865536, dearahmaaaa, Fri Apr 24 04:33:18 +0000 2020, 112.629076, -7.972495, @HasbiAshhh Iki aku buko 
1253542510611165184, ayuelstari, Fri Apr 24 04:33:18 +0000 2020, 106.719417, -6.266508, Ini benar adanya 😭 
1253542512142106624, DJshyam1, Fri Apr 24 04:33:19 +0000 2020, 106.838240, -6.132986, @musniumar Setuju sekali saran frofesor,cuman ini yang di PHK pekerja yang memang gak punya tabungan. 
1253542515682115585, jlvillaruel11, Fri Apr 24 04:33:20 +0000 2020, 124.917931, 6.953700, I’m really sorry 😭 
1253542515665301504, coraliabali, Fri Apr 24 04:33:20 +0000 2020, 115.256130, -8.517018, @Indounik @YouTube Yes this company make our day more lighter, Now days plenty of dragonfly , few colorful butterfl… https://t.co/okRbY4syP2 
1253542516051361792, SelviHamdi, Fri Apr 24 04:33:20 +0000 2020, 117.583600, 3.309300, 只要你不放弃，你就还有机会放弃了就是最大的失败。If you don’t give up, you still have a chanceGiving up is the greatest failure.👸🏻👸🏻 @ T… https://t.co/PU4Dw5ZT0c 
1253542516713914368, Jiiiyageeeyl, Fri Apr 24 04:33:20 +0000 2020, 120.461168, 15.589291, @eizzirr Ahahahaha Inom uli 
1253542517217214470, tamie_oon, Fri Apr 24 04:33:20 +0000 2020, 116.413727, 0.098577, Hmmmm 
1253542517112320000, DediMunawar2, Fri Apr 24 04:33:20 +0000 2020, 95.942575, 5.375675, #ssdm_polri #tribrata#PolisiIndonesia #birosdmpoldaaceh #poldaaceh#rekrutmen_polri #polisihumanis… https://t.co/r9V7zyWvyW 
1253542516785176576, Olivmartcenvy, Fri Apr 24 04:33:20 +0000 2020, 119.405115, -5.136045, yawlaahhh taeh untung sy gak puasa, jd bisa marah liat ngana bafoto seperti ini😡 https://t.co/pOyflJWRPG 
